State,Total Personal Consumption Expenditures,Housing and utilities,Health care,Off-premises food and beverages,Gasoline and other energy goods,All other Personal Consumption Expenditures,,,,,,,,,,
Connecticut,"50,720","10,280","7,667","3,357",867,"28,549",,,,,,,,,,
Maine,"43,364","7,062","7,712","4,115","1,577","22,897",,,,,,,,,,
Massachusetts,"53,267","9,778","9,234","3,682",900,"29,674",,,,,,,,,,
New Hampshire,"50,265","9,552","8,673","3,798","1,331","26,912",,,,,,,,,,
Rhode Island,"43,193","8,760","7,429","2,966",752,"23,287",,,,,,,,,,
Vermont,"47,845","8,448","8,680","4,452","1,520","24,744",,,,,,,,,,
Delaware,"42,351","7,806","8,481","3,280",920,"21,863",,,,,,,,,,
District of Columbia,"60,914","11,161","10,036","4,577",591,"34,549",,,,,,,,,,
Maryland,"45,034","10,255","7,501","2,880",811,"23,588",,,,,,,,,,
New Jersey,"49,911","10,280","7,284","3,329",843,"28,174",,,,,,,,,,
New York,"49,291","8,740","7,953","2,904",634,"29,059",,,,,,,,,,
Pennsylvania,"42,819","7,059","7,805","2,784",995,"24,176",,,,,,,,,,
Illinois,"42,927","7,636","7,129","2,715",768,"24,680",,,,,,,,,,
Indiana,"36,305","5,885","7,773","2,702","1,118","18,827",,,,,,,,,,
Michigan,"39,237","6,674","6,869","2,961","1,068","21,666",,,,,,,,,,
Ohio,"39,403","6,133","7,526","2,754","1,005","21,986",,,,,,,,,,
Wisconsin,"40,660","6,796","7,818","3,047","1,240","21,758",,,,,,,,,,
Iowa,"37,652","6,058","6,502","3,053","1,537","20,503",,,,,,,,,,
Kansas,"36,534","6,419","6,418","2,998","1,033","19,666",,,,,,,,,,
Minnesota,"45,354","7,802","8,277","3,077","1,214","24,985",,,,,,,,,,
Missouri,"38,619","6,249","7,086","2,697","1,332","21,256",,,,,,,,,,
Nebraska,"40,160","6,212","7,230","2,894","1,665","22,160",,,,,,,,,,
North Dakota,"46,713","6,294","8,538","3,138","2,498","26,245",,,,,,,,,,
South Dakota,"42,558","5,791","8,989","2,959","1,675","23,144",,,,,,,,,,
Alabama,"32,489","5,440","5,881","2,633",969,"17,565",,,,,,,,,,
Arkansas,"32,875","5,122","6,117","2,642","1,126","17,869",,,,,,,,,,
Florida,"39,525","7,448","6,787","3,087",709,"21,493",,,,,,,,,,
Georgia,"35,028","6,303","5,802","2,872",920,"19,131",,,,,,,,,,
Kentucky,"33,785","5,438","6,524","3,127","1,012","17,685",,,,,,,,,,
Louisiana,"34,539","5,819","6,485","2,788","1,035","18,413",,,,,,,,,,
Mississippi,"30,027","5,155","6,038","2,658","1,029","15,147",,,,,,,,,,
North Carolina,"34,152","5,982","6,170","2,898",963,"18,139",,,,,,,,,,
South Carolina,"33,692","5,795","5,899","2,799","1,125","18,073",,,,,,,,,,
Tennessee,"34,905","6,090","6,372","2,826",935,"18,683",,,,,,,,,,
Virginia,"43,551","8,921","6,460","3,199",920,"24,051",,,,,,,,,,
West Virginia,"34,758","5,149","7,935","2,857","1,082","17,736",,,,,,,,,,
Arizona,"34,548","6,837","5,681","2,789",908,"18,333",,,,,,,,,,
New Mexico,"34,696","6,141","6,297","2,783","1,300","18,175",,,,,,,,,,
Oklahoma,"33,056","5,361","6,070","2,406","1,259","17,959",,,,,,,,,,
Texas,"37,486","6,264","6,025","2,878","1,035","21,284",,,,,,,,,,
Colorado,"42,239","8,418","6,500","3,203",782,"23,335",,,,,,,,,,
Idaho,"35,339","6,328","6,213","3,531","1,136","18,132",,,,,,,,,,
Montana,"40,955","6,388","7,449","3,560","1,484","22,075",,,,,,,,,,
Utah,"35,786","6,494","5,192","2,601",944,"20,555",,,,,,,,,,
Wyoming,"41,036","7,228","6,626","3,413","2,186","21,584",,,,,,,,,,
Alaska,"48,036","8,479","10,859","3,986",989,"23,724",,,,,,,,,,
California,"44,366","9,657","7,203","2,872",810,"23,825",,,,,,,,,,
Hawaii,"46,071","9,847","6,905","4,081",549,"24,689",,,,,,,,,,
Nevada,"39,806","7,265","5,657","2,874",799,"23,210",,,,,,,,,,
Oregon,"40,805","8,062","7,181","3,523",804,"21,235",,,,,,,,,,
Washington,"44,377","8,775","7,530","3,409",748,"23,915",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
